,iso3_country,gas,emissions_quantity,capacity,capacity_factor,activity,st_astext,year,use_biomass,use_gas_or_oil,use_gas,use_coal,use_oil,use_other_fossil,owner_name,owner_direct_parent,owner_grouping,asset_name
0,USA,co2,6853000.0,1717,0.487,7339000,POINT(-85.9103 38.0525),2020,False,False,False,True,False,False,Louisville Gas & Electric Co,PPL Energy,PPL Energy,Mill Creek (KY)
1,USA,co2e_100yr,6853000.0,1717,0.487,7339000,POINT(-85.9103 38.0525),2020,False,False,False,True,False,False,Louisville Gas & Electric Co,PPL Energy,PPL Energy,Mill Creek (KY)
2,USA,co2e_100yr,8504000.0,1717,0.606,9108000,POINT(-85.9103 38.0525),2019,False,False,False,True,False,False,Louisville Gas & Electric Co,PPL Energy,PPL Energy,Mill Creek (KY)
3,USA,co2e_20yr,8504000.0,1717,0.606,9108000,POINT(-85.9103 38.0525),2019,False,False,False,True,False,False,Louisville Gas & Electric Co,PPL Energy,PPL Energy,Mill Creek (KY)
4,IND,ch4,0.0,1340,0.523,6156000,POINT(79.116 21.2818),2020,False,False,False,True,False,False,Maharashtra State Power Generation Co,Maharashtra State Power (Maharashtra),Maharashtra State Power (Maharashtra),Khaperkheda power station
5,IND,co2,5769000.0,1340,0.523,6156000,POINT(79.116 21.2818),2020,False,False,False,True,False,False,Maharashtra State Power Generation Co,Maharashtra State Power (Maharashtra),Maharashtra State Power (Maharashtra),Khaperkheda power station
6,IND,n2o,0.0,1340,0.523,6156000,POINT(79.116 21.2818),2020,False,False,False,True,False,False,Maharashtra State Power Generation Co,Maharashtra State Power (Maharashtra),Maharashtra State Power (Maharashtra),Khaperkheda power station
7,IND,co2e_100yr,5769000.0,1340,0.523,6156000,POINT(79.116 21.2818),2020,False,False,False,True,False,False,Maharashtra State Power Generation Co,Maharashtra State Power (Maharashtra),Maharashtra State Power (Maharashtra),Khaperkheda power station
8,IND,co2e_20yr,5769000.0,1340,0.523,6156000,POINT(79.116 21.2818),2020,False,False,False,True,False,False,Maharashtra State Power Generation Co,Maharashtra State Power (Maharashtra),Maharashtra State Power (Maharashtra),Khaperkheda power station
9,IND,co2,6083000.0,1340,0.553,6491000,POINT(79.116 21.2818),2019,False,False,False,True,False,False,Maharashtra State Power Generation Co,Maharashtra State Power (Maharashtra),Maharashtra State Power (Maharashtra),Khaperkheda power station
10,IND,co2e_100yr,6083000.0,1340,0.553,6491000,POINT(79.116 21.2818),2019,False,False,False,True,False,False,Maharashtra State Power Generation Co,Maharashtra State Power (Maharashtra),Maharashtra State Power (Maharashtra),Khaperkheda power station
11,IND,co2e_20yr,6083000.0,1340,0.553,6491000,POINT(79.116 21.2818),2019,False,False,False,True,False,False,Maharashtra State Power Generation Co,Maharashtra State Power (Maharashtra),Maharashtra State Power (Maharashtra),Khaperkheda power station
